,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
27310,27311,2.16,Ideal,H,SI1,61.9,57.0,17820,8.3,8.38,5.16
14904,14905,1.01,Good,G,VS2,63.1,59.0,5999,6.37,6.4,4.03
24279,24280,1.72,Premium,I,VVS2,62.7,58.0,12509,7.6,7.54,4.75
9458,9459,1.38,Good,J,SI2,63.7,58.0,4598,7.06,7.01,4.48
48052,48053,0.61,Ideal,D,SI1,62.0,55.0,1927,5.44,5.47,3.38
8381,8382,0.35,Ideal,F,SI1,62.5,54.0,583,4.5,4.52,2.82
44783,44784,0.51,Ideal,D,VS2,61.8,54.0,1623,5.12,5.17,3.18
13216,13217,1.2,Good,I,SI1,64.4,61.0,5458,6.52,6.59,4.22
49864,49865,0.71,Ideal,F,SI2,62.2,56.0,2173,5.76,5.7,3.56
10183,10184,1.22,Premium,I,SI2,61.7,59.0,4735,6.84,6.8,4.21
37127,37128,0.39,Very Good,F,VS1,62.0,56.0,971,4.72,4.64,2.9
36817,36818,0.7,Fair,G,I1,67.3,57.0,956,5.53,5.38,3.68
37800,37801,0.51,Ideal,I,SI1,61.9,54.0,1000,5.12,5.15,3.18
23723,23724,0.25,Very Good,F,VVS1,61.1,57.0,633,4.05,4.08,2.48
2598,2599,0.9,Good,E,SI2,62.0,63.0,3218,6.09,6.14,3.79
24882,24883,1.5,Good,G,VS2,61.4,58.8,13307,7.32,7.37,4.5
29096,29097,0.36,Premium,D,SI2,61.2,59.0,689,4.59,4.56,2.8
19037,19038,0.3,Ideal,F,VS1,61.6,54.0,621,4.32,4.35,2.67
49145,49146,0.59,Very Good,E,VS2,60.8,57.0,2068,5.37,5.42,3.28
11406,11407,1.01,Very Good,I,SI2,62.2,59.0,5000,6.36,6.41,3.97
42658,42659,0.5,Good,D,SI1,63.8,60.0,1333,5.0,5.03,3.2
12475,12476,1.01,Good,E,SI1,63.6,57.0,5251,6.27,6.3,4.0
9834,9835,1.01,Good,D,SI2,63.9,57.0,4672,6.36,6.29,4.04
37605,37606,0.24,Very Good,D,VVS2,58.7,61.0,485,4.04,4.07,2.38
37598,37599,0.23,Very Good,E,VVS2,59.0,63.0,485,3.98,4.05,2.37
11530,11531,1.0,Fair,E,SI1,57.6,57.0,5027,6.56,6.52,3.77
47705,47706,0.58,Ideal,E,VS2,61.1,57.0,1884,5.39,5.41,3.3
5294,5295,1.01,Premium,E,SI2,60.4,57.0,3801,6.53,6.49,3.93
29296,29297,0.31,Ideal,I,SI1,62.2,54.0,436,4.36,4.39,2.72
10472,10473,1.01,Fair,F,VS2,64.8,56.0,4791,6.3,6.25,4.07
44287,44288,0.52,Ideal,H,VS1,62.4,55.0,1577,5.19,5.17,3.23
27985,27986,0.3,Ideal,E,VS2,62.0,55.0,658,4.27,4.31,2.66
1236,1237,0.7,Ideal,F,VS2,60.8,56.0,2942,5.78,5.79,3.52
1421,1422,0.78,Ideal,H,VS2,61.6,56.0,2970,5.94,5.91,3.64
19400,19401,1.22,Ideal,G,VS2,62.0,57.0,8062,6.88,6.83,4.25
17132,17133,1.05,Ideal,G,VS2,61.6,56.0,6837,6.52,6.56,4.03
31286,31287,0.36,Ideal,F,SI2,62.2,55.0,450,4.57,4.59,2.85
21945,21946,1.21,Premium,F,VS1,62.6,59.0,10018,6.81,6.76,4.25
33855,33856,0.3,Premium,E,VS2,59.2,59.0,844,4.41,4.37,2.6
31310,31311,0.32,Ideal,D,VS2,62.0,55.0,758,4.37,4.41,2.72
30279,30280,0.3,Very Good,D,SI2,62.4,59.0,447,4.25,4.28,2.66
21249,21250,1.34,Ideal,G,VS2,61.9,56.0,9401,7.1,7.05,4.38
44173,44174,0.55,Ideal,E,SI1,60.8,56.0,1566,5.31,5.34,3.24
16912,16913,1.37,Premium,E,SI2,61.0,57.0,6751,7.25,7.19,4.4
38385,38386,0.42,Premium,E,VS2,60.9,59.0,1024,4.85,4.81,2.94
25163,25164,1.7,Premium,F,VS2,62.5,61.0,13737,7.54,7.45,4.69
53491,53492,0.71,Very Good,D,SI1,61.0,58.0,2683,5.71,5.87,3.53
32686,32687,0.31,Very Good,G,VS1,63.2,57.0,802,4.33,4.28,2.72
39667,39668,0.42,Ideal,G,VS2,62.2,56.0,1087,4.82,4.8,2.99
7545,7546,0.9,Premium,H,VS2,60.4,59.0,4246,6.27,6.24,3.78
34430,34431,0.3,Ideal,G,IF,62.1,53.0,863,4.3,4.33,2.68
1331,1332,0.64,Ideal,G,IF,61.7,58.0,2960,5.52,5.56,3.42
42310,42311,0.41,Ideal,F,VVS1,62.3,57.0,1295,4.73,4.77,2.96
36289,36290,0.32,Ideal,G,SI1,61.3,57.0,477,4.37,4.4,2.69
32475,32476,0.44,Very Good,I,VS2,62.5,57.0,795,4.85,4.88,3.04
2559,2560,0.8,Ideal,D,SI2,61.9,54.0,3210,5.95,6.0,3.7
20054,20055,0.31,Ideal,H,VVS2,62.6,56.0,625,4.32,4.37,2.72
10432,10433,1.06,Premium,H,SI1,61.6,59.0,4785,6.54,6.55,4.03
48525,48526,0.54,Ideal,G,VVS2,61.5,54.0,1985,5.24,5.26,3.23
2328,2329,0.77,Ideal,F,SI1,61.4,55.0,3169,5.93,5.95,3.65
420,421,0.7,Very Good,F,VS2,62.3,58.0,2812,5.64,5.72,3.54
21329,21330,1.59,Premium,I,VS2,59.9,60.0,9474,7.61,7.57,4.55
36279,36280,0.32,Good,D,SI2,63.7,56.0,477,4.33,4.34,2.76
34874,34875,0.3,Premium,G,VVS2,62.1,59.0,878,4.27,4.23,2.64
24705,24706,0.32,Ideal,F,VS1,61.5,56.0,639,4.4,4.44,2.72
28992,28993,0.34,Very Good,F,VS2,62.9,58.0,686,4.44,4.46,2.8
21983,21984,1.08,Ideal,F,VVS2,62.1,55.0,10052,6.57,6.6,4.09
20852,20853,1.24,Ideal,F,VS2,61.4,57.0,9073,6.98,6.86,4.25
48262,48263,0.7,Good,F,SI1,64.3,63.0,1955,5.55,5.58,3.58
24451,24452,2.02,Ideal,J,SI1,59.8,60.0,12713,8.21,8.16,4.9
38752,38753,0.35,Ideal,E,VVS1,62.0,56.0,1044,4.51,4.58,2.82
36974,36975,0.43,Premium,D,VS2,59.7,59.0,963,4.93,4.89,2.93
16896,16897,1.13,Premium,G,VS2,62.5,58.0,6743,6.69,6.59,4.15
22426,22427,1.01,Very Good,D,VVS2,62.5,59.0,10453,6.34,6.4,3.98
33334,33335,0.32,Ideal,F,VVS1,61.1,56.0,827,4.42,4.45,2.71
29478,29479,0.4,Premium,G,SI1,61.4,60.0,702,4.67,4.71,2.88
43663,43664,0.5,Ideal,F,VS2,62.7,57.0,1436,5.06,5.11,3.19
11032,11033,1.0,Very Good,G,SI1,61.4,57.0,4919,6.45,6.42,3.95
18707,18708,0.27,Very Good,E,VVS2,62.5,59.0,620,4.09,4.14,2.57
26668,26669,2.01,Premium,I,SI1,61.5,60.0,16499,8.12,8.01,4.96
38177,38178,0.4,Ideal,F,VVS2,61.5,59.0,1015,4.75,4.81,2.94
48055,48056,0.73,Premium,I,SI2,62.0,57.0,1927,5.79,5.76,3.58
34382,34383,0.41,Very Good,F,VS2,61.1,56.0,863,4.79,4.84,2.94
19335,19336,1.5,Very Good,J,VS1,61.7,58.0,8039,7.29,7.33,4.51
15362,15363,0.3,Very Good,G,VS1,61.7,60.0,605,4.24,4.28,2.63
28342,28343,0.33,Good,F,VS2,63.2,56.0,666,4.39,4.41,2.78
38233,38234,0.4,Ideal,H,VS1,61.8,59.0,1017,4.74,4.72,2.92
15745,15746,1.0,Very Good,F,VS2,63.2,59.0,6296,6.35,6.3,4.0
4261,4262,0.9,Very Good,I,VS2,61.6,57.0,3581,6.13,6.17,3.79
6678,6679,1.2,Ideal,J,VS2,61.6,54.0,4099,6.88,6.82,4.22
20302,20303,1.01,Fair,D,VVS2,65.4,57.0,8716,6.2,6.16,4.04
12221,12222,1.0,Ideal,F,SI1,62.0,57.0,5197,6.37,6.43,3.97
41639,41640,0.3,Premium,E,SI2,58.8,60.0,504,4.42,4.39,2.59
33544,33545,0.35,Ideal,D,VS2,62.0,55.0,829,4.47,4.53,2.79
4666,4667,1.13,Ideal,H,SI2,60.6,57.0,3670,6.79,6.77,4.11
3040,3041,0.3,Good,G,VS1,63.3,56.0,565,4.28,4.31,2.72
34706,34707,0.38,Ideal,I,VS1,61.5,56.0,874,4.67,4.71,2.88
11539,11540,1.21,Fair,F,SI2,65.3,53.0,5028,6.74,6.68,4.38
52710,52711,0.74,Premium,G,SI1,60.5,58.0,2553,5.93,5.88,3.57
37732,37733,0.45,Ideal,F,SI2,62.5,57.0,996,4.9,4.86,3.05
21902,21903,1.01,Very Good,F,IF,63.5,59.0,9972,6.29,6.41,4.03
8118,8119,1.01,Very Good,E,SI2,60.4,60.0,4352,6.48,6.57,3.94
14072,14073,0.91,Premium,F,VVS2,63.0,56.0,5708,6.17,6.12,3.87
6447,6448,1.09,Premium,G,SI2,60.7,57.0,4047,6.72,6.62,4.06
2732,2733,0.91,Ideal,F,SI2,61.1,55.0,3246,6.24,6.19,3.8
29459,29460,0.33,Very Good,G,VVS2,61.5,62.0,702,4.39,4.43,2.71
14868,14869,1.01,Premium,F,VS2,62.1,60.0,5988,6.36,6.43,3.97
29186,29187,0.3,Ideal,E,VS1,61.3,58.0,694,4.29,4.32,2.64
11935,11936,1.09,Premium,E,SI2,61.4,58.0,5127,6.67,6.63,4.08
2195,2196,0.9,Good,E,SI2,64.1,57.0,3139,6.07,6.09,3.9
38533,38534,0.38,Very Good,H,VVS1,63.3,58.0,1033,4.62,4.57,2.91
28498,28499,0.3,Ideal,E,VS1,62.0,53.0,673,4.31,4.33,2.68
26882,26883,2.48,Premium,I,VS2,60.1,58.0,16820,8.83,8.76,5.29
28574,28575,0.3,Premium,H,VS1,62.2,60.0,675,4.29,4.23,2.65
44079,44080,0.51,Ideal,D,SI1,62.0,55.0,1553,5.11,5.15,3.18
12341,12342,0.9,Ideal,D,SI1,61.2,55.0,5226,6.25,6.21,3.81
19385,19386,1.55,Ideal,I,SI2,60.7,60.0,8056,7.49,7.46,4.54
43092,43093,0.52,Very Good,E,SI1,58.4,58.0,1382,5.29,5.33,3.1
38980,38981,0.36,Good,E,IF,57.7,54.0,1053,4.74,4.79,2.75
10779,10780,0.9,Very Good,E,VS2,62.7,56.0,4858,6.13,6.21,3.87
3644,3645,0.9,Very Good,H,SI1,62.8,57.0,3437,6.14,6.18,3.87
34684,34685,0.4,Ideal,G,SI1,61.8,57.0,873,4.74,4.78,2.94
22608,22609,2.22,Very Good,J,SI2,61.2,63.0,10662,8.33,8.23,5.07
10188,10189,1.14,Premium,F,SI2,62.9,59.0,4737,6.64,6.62,4.17
39420,39421,0.41,Premium,F,VS1,60.8,58.0,1076,4.82,4.76,2.91
41172,41173,0.4,Ideal,G,VVS1,61.4,55.0,1200,4.76,4.72,2.91
5233,5234,0.9,Very Good,G,SI2,63.2,58.0,3787,6.05,6.1,3.84
37426,37427,0.33,Ideal,G,IF,61.6,56.0,984,4.45,4.48,2.75
30730,30731,0.32,Ideal,E,VS1,62.2,54.0,739,4.39,4.42,2.74
51609,51610,0.79,Very Good,G,SI1,60.9,63.0,2394,5.89,5.84,3.57
22563,22564,1.03,Ideal,F,IF,63.1,55.0,10615,6.45,6.46,4.07
33472,33473,0.32,Ideal,F,VS2,62.4,55.0,828,4.43,4.41,2.76
18930,18931,1.03,Premium,E,VS1,62.4,58.0,7778,6.41,6.5,4.03
44926,44927,0.51,Ideal,G,VS1,60.2,57.0,1632,5.16,5.21,3.13
2786,2787,0.79,Ideal,E,SI1,61.9,55.0,3256,5.97,5.89,3.67
3919,3920,1.02,Premium,G,SI2,61.8,58.0,3496,6.47,6.4,3.98
18528,18529,1.08,Ideal,G,VS1,61.4,56.0,7551,6.59,6.63,4.06
30521,30522,0.32,Ideal,G,VVS1,61.3,55.0,733,4.46,4.38,2.71
8744,8745,0.9,Premium,E,SI1,60.8,59.0,4463,6.19,6.24,3.78
13977,13978,1.27,Ideal,I,SI1,62.4,56.0,5690,6.95,6.9,4.32
14015,14016,1.01,Very Good,G,VS2,63.2,55.0,5701,6.39,6.34,4.02
32160,32161,0.38,Ideal,D,VS2,60.8,57.0,787,4.66,4.68,2.84
10246,10247,1.01,Ideal,H,SI1,62.6,55.0,4749,6.39,6.43,4.01
25748,25749,2.03,Fair,G,SI2,64.9,59.0,14687,7.85,7.99,5.14
21815,21816,1.34,Ideal,G,VS1,62.7,57.0,9890,7.04,7.1,4.43
35299,35300,0.3,Very Good,H,VS2,62.5,58.0,473,4.26,4.28,2.67
10578,10579,1.23,Ideal,F,SI2,62.1,57.0,4819,6.83,6.8,4.23
36601,36602,0.32,Good,D,SI2,63.4,56.0,477,4.36,4.38,2.77
47787,47788,0.67,Good,F,SI1,60.2,61.0,1897,5.64,5.69,3.41
51945,51946,0.72,Premium,G,VS2,62.4,57.0,2441,5.73,5.72,3.57
19422,19423,1.4,Ideal,H,SI1,62.4,56.0,8075,7.11,7.18,4.46
35841,35842,0.32,Very Good,E,VVS1,60.4,57.0,917,4.42,4.46,2.68
34014,34015,0.3,Premium,D,VS1,60.7,58.0,848,4.36,4.34,2.64
40163,40164,0.47,Premium,G,VS2,61.0,59.0,1116,5.03,5.0,3.06
41074,41075,0.41,Premium,F,VVS2,60.6,58.0,1192,4.84,4.79,2.92
19874,19875,1.5,Very Good,J,VVS2,63.3,57.0,8427,7.28,7.25,4.6
34361,34362,0.41,Ideal,F,VS2,61.0,57.0,863,4.76,4.81,2.92
48595,48596,0.7,Very Good,H,SI2,63.1,55.0,1995,5.71,5.66,3.59
46637,46638,0.3,Good,E,SI1,63.7,58.0,526,4.24,4.27,2.71
49117,49118,0.67,Very Good,I,IF,61.4,56.0,2066,5.59,5.65,3.45
48874,48875,0.71,Very Good,F,SI2,60.9,56.0,2036,5.8,5.83,3.54
39521,39522,0.51,Very Good,J,VS2,63.1,56.0,1080,5.13,5.1,3.23
38277,38278,0.21,Premium,D,VS2,60.6,60.0,386,3.85,3.81,2.32
21665,21666,1.5,Ideal,I,VS2,62.6,57.0,9761,7.31,7.26,4.56
41419,41420,0.52,Ideal,F,SI2,60.9,57.0,1226,5.22,5.2,3.17
46526,46527,0.51,Premium,G,VS1,62.3,58.0,1781,5.13,5.08,3.18
19670,19671,1.1,Ideal,F,VS1,61.7,57.0,8279,6.67,6.65,4.11
41488,41489,0.52,Ideal,E,SI2,60.9,56.0,1232,5.2,5.23,3.17
40018,40019,0.46,Good,F,VS1,56.5,61.0,1109,5.11,5.05,2.87
27602,27603,2.16,Ideal,J,VS1,61.4,55.0,18462,8.34,8.27,5.1
35951,35952,0.3,Ideal,F,SI1,61.9,56.0,475,4.29,4.33,2.67
19861,19862,1.3,Ideal,G,SI1,61.6,55.0,8416,7.01,7.05,4.33
32065,32066,0.33,Ideal,D,SI1,62.8,56.0,780,4.43,4.39,2.77
50835,50836,0.7,Premium,E,SI1,62.4,60.0,2310,5.72,5.63,3.54
48679,48680,0.51,Very Good,G,VVS1,60.1,56.0,2005,5.16,5.35,3.16
37920,37921,0.23,Very Good,E,VVS1,63.3,57.0,485,3.88,3.95,2.48
40803,40804,0.41,Good,E,VVS1,60.4,61.0,1169,4.76,4.81,2.89
14316,14317,1.09,Premium,D,SI1,61.6,58.0,5799,6.61,6.57,4.06
16043,16044,0.3,Ideal,H,VS2,60.7,57.0,608,4.37,4.33,2.64
33329,33330,0.5,Fair,F,I1,57.5,66.0,827,5.3,5.17,3.01
28162,28163,0.3,Ideal,H,VVS1,61.6,57.0,665,4.3,4.34,2.66
15603,15604,1.04,Ideal,E,SI1,62.6,53.0,6260,6.49,6.52,4.07
3945,3946,0.71,Ideal,D,SI1,61.8,56.0,3502,5.72,5.76,3.54
13833,13834,1.24,Ideal,I,VS2,62.4,57.0,5638,6.82,6.9,4.28
36906,36907,0.42,Ideal,G,VVS2,62.3,53.0,961,4.83,4.86,3.02
5543,5544,1.01,Fair,G,SI2,64.7,58.0,3856,6.14,6.23,4.0
33176,33177,0.41,Very Good,E,SI2,63.4,58.0,818,4.75,4.71,3.0
25325,25326,1.5,Good,E,VS2,63.9,58.0,14026,7.24,7.2,4.61
40974,40975,0.5,Ideal,G,SI2,60.7,56.0,1180,5.13,5.18,3.13
18298,18299,1.47,Very Good,H,SI2,59.1,56.0,7438,7.46,7.51,4.42
31985,31986,0.3,Premium,F,VS2,61.4,60.0,776,4.3,4.27,2.63
11150,11151,1.07,Premium,E,SI2,59.7,58.0,4943,6.66,6.68,3.98
11821,11822,1.07,Ideal,I,SI1,61.7,56.0,5093,6.59,6.57,4.06
45007,45008,0.46,Ideal,D,VS1,62.6,56.0,1637,4.92,4.95,3.09
33423,33424,0.32,Ideal,H,VVS2,61.8,55.0,828,4.42,4.38,2.72
31710,31711,0.41,Premium,E,SI2,60.6,60.0,771,4.83,4.8,2.92
26990,26991,2.01,Very Good,D,SI2,61.8,59.0,17079,8.07,8.15,5.01
49751,49752,0.56,Ideal,H,IF,60.4,57.0,2157,5.35,5.39,3.24
45566,45567,0.52,Ideal,E,VS2,59.5,57.0,1689,5.25,5.27,3.13
32378,32379,0.39,Very Good,J,VS1,63.5,58.0,790,4.64,4.59,2.93
42916,42917,0.53,Ideal,F,SI1,62.4,57.0,1363,5.21,5.18,3.24
39572,39573,0.44,Premium,G,VVS2,61.3,60.0,1081,4.88,4.94,3.01
53815,53816,0.71,Premium,E,VS2,59.0,59.0,2735,5.88,5.78,3.44
5706,5707,0.33,Good,E,VS2,57.3,59.0,574,4.6,4.62,2.64
4083,4084,0.78,Ideal,F,VS2,62.3,56.0,3531,5.91,5.88,3.67
36455,36456,0.31,Ideal,D,VS2,62.5,56.0,942,4.36,4.31,2.71
17152,17153,1.23,Very Good,H,VS2,62.4,58.0,6848,6.8,6.85,4.26
31024,31025,0.31,Ideal,G,VS1,61.9,55.0,749,4.37,4.36,2.7
29337,29338,0.31,Premium,H,VS1,62.4,58.0,698,4.34,4.28,2.69
11947,11948,1.01,Good,E,SI1,63.4,60.0,5132,6.3,6.34,4.01
37218,37219,0.38,Very Good,H,VVS1,60.0,57.0,975,4.75,4.79,2.86
49851,49852,0.87,Premium,F,I1,59.1,58.0,2170,6.25,6.21,3.68
40216,40217,0.5,Very Good,D,SI2,58.9,60.0,1123,5.2,5.23,3.07
20192,20193,1.51,Very Good,I,SI1,62.7,61.0,8637,7.27,7.33,4.58
14678,14679,1.09,Ideal,F,SI1,62.0,56.0,5922,6.61,6.59,4.09
21395,21396,1.24,Premium,F,VS2,62.4,60.0,9513,6.83,6.8,4.25
26812,26813,2.09,Ideal,H,SI2,60.6,57.0,16703,8.3,8.2,5.0
15903,15904,1.02,Ideal,G,VS2,60.5,57.0,6356,6.51,6.55,3.95
51939,51940,0.72,Very Good,I,VS1,63.8,59.0,2441,5.63,5.71,3.62
17583,17584,1.14,Ideal,H,SI1,61.6,56.0,7079,6.72,6.74,4.14
29966,29967,0.31,Good,H,SI1,63.6,57.0,446,4.32,4.33,2.75
16727,16728,0.3,Very Good,D,VS1,61.2,55.0,610,4.32,4.34,2.65
10002,10003,1.03,Good,H,SI1,59.3,56.0,4705,6.57,6.66,3.92
40327,40328,0.45,Good,G,VS1,64.1,58.8,1127,4.79,4.86,3.09
48159,48160,0.71,Very Good,G,SI1,61.1,61.0,1942,5.71,5.72,3.49
26781,26782,2.06,Ideal,I,SI1,61.9,56.0,16626,8.17,8.19,5.06
30114,30115,0.32,Ideal,G,VS2,61.8,55.0,720,4.43,4.41,2.73
36449,36450,0.31,Ideal,D,VS2,62.2,56.0,942,4.36,4.32,2.7
27579,27580,1.79,Premium,G,VS1,61.7,59.0,18419,7.85,7.74,4.81
30761,30762,0.25,Premium,E,VVS1,60.7,60.0,740,4.11,4.09,2.49
6724,6725,0.27,Ideal,F,VS2,60.3,56.0,577,4.24,4.27,2.56
11067,11068,0.34,Ideal,E,SI1,62.0,57.0,596,4.46,4.48,2.77
21892,21893,1.5,Very Good,I,VS2,63.8,59.0,9960,7.29,7.23,4.63
16469,16470,1.2,Very Good,G,VS2,63.3,57.0,6580,6.69,6.64,4.22
38331,38332,0.32,Ideal,E,VVS1,61.6,56.0,1020,4.42,4.41,2.72
8822,8823,1.02,Good,E,SI2,64.3,58.0,4478,6.36,6.26,4.06
44851,44852,0.5,Ideal,H,VS2,61.7,55.0,1626,5.11,5.14,3.16
4125,4126,0.64,Very Good,E,VVS2,61.8,59.0,3541,5.51,5.53,3.41
30842,30843,0.33,Ideal,H,VS1,61.9,56.0,743,4.48,4.44,2.76
41560,41561,0.56,Ideal,I,VS2,62.1,54.0,1237,5.3,5.33,3.3
44176,44177,0.57,Ideal,F,VS2,61.6,56.0,1567,5.34,5.37,3.3
19629,19630,1.0,Very Good,G,VVS1,62.3,55.0,8246,6.34,6.44,3.98
53467,53468,0.64,Ideal,E,VS1,60.8,56.0,2679,5.61,5.59,3.41
50495,50496,0.73,Ideal,H,SI1,62.9,56.0,2269,5.79,5.75,3.63
1944,1945,0.81,Ideal,H,VS2,61.6,56.0,3084,6.03,5.98,3.7
48971,48972,0.34,Ideal,I,VS1,62.4,55.0,537,4.47,4.51,2.8
40427,40428,0.42,Ideal,H,IF,61.0,56.0,1135,4.79,4.82,2.93
13770,13771,1.06,Ideal,F,SI1,62.2,57.0,5613,6.52,6.5,4.05
53191,53192,0.51,Very Good,F,VVS2,60.3,55.0,2633,5.22,5.26,3.16
38884,38885,0.4,Ideal,D,VS2,61.5,55.0,1050,4.75,4.71,2.91
48137,48138,0.7,Very Good,F,SI2,60.9,58.0,1940,5.7,5.77,3.49
19109,19110,1.0,Very Good,D,VS1,62.7,60.0,7877,6.31,6.36,3.97
7463,7464,0.9,Good,F,VS2,63.6,59.0,4234,6.11,6.06,3.87
32460,32461,0.36,Ideal,G,VVS2,61.8,54.0,794,4.59,4.61,2.84
10901,10902,1.03,Premium,E,SI2,62.0,59.0,4885,6.42,6.49,4.0
45946,45947,0.56,Premium,D,SI1,61.9,58.0,1723,5.27,5.33,3.28
31572,31573,0.31,Ideal,E,VVS2,61.9,54.0,767,4.38,4.41,2.72
52500,52501,0.71,Ideal,I,VS1,61.3,57.0,2525,5.73,5.75,3.51
25736,25737,1.26,Premium,D,VVS2,60.5,58.0,14663,6.99,7.03,4.24
1402,1403,0.25,Very Good,E,VVS1,61.5,56.0,560,4.06,4.08,2.5
37649,37650,0.41,Very Good,D,VS1,63.4,56.0,991,4.7,4.76,3.0
11057,11058,0.4,Ideal,H,SI2,61.9,58.0,596,4.71,4.73,2.92
37145,37146,0.32,Ideal,D,VS2,62.4,57.0,972,4.38,4.34,2.72
2712,2713,0.32,Very Good,G,VS2,60.9,58.0,564,4.42,4.45,2.7
43301,43302,0.52,Fair,I,VVS2,60.4,66.0,1401,5.26,5.2,3.16
3492,3493,1.01,Good,J,SI1,62.8,58.0,3399,6.28,6.33,3.96
11281,11282,1.03,Premium,E,SI2,62.0,59.0,4974,6.49,6.42,4.0
19056,19057,1.25,Ideal,F,VS1,62.4,57.0,7840,6.9,6.83,4.29
46696,46697,0.5,Fair,G,VVS2,62.9,67.0,1791,5.02,4.96,3.14
36237,36238,0.62,Premium,G,I1,58.9,60.0,933,5.65,5.54,3.29
19569,19570,1.01,Premium,D,VS1,61.8,54.0,8201,6.44,6.38,3.96
15366,15367,0.3,Very Good,G,VS1,62.0,60.0,605,4.23,4.28,2.64
2056,2057,0.32,Very Good,H,VS1,60.5,59.0,561,4.41,4.42,2.67
10982,10983,1.15,Ideal,H,SI1,63.0,57.0,4911,6.71,6.66,4.21
28272,28273,0.23,Very Good,D,VS2,62.7,58.0,362,3.86,3.89,2.43
43446,43447,0.5,Premium,E,SI1,63.0,58.0,1415,5.08,5.04,3.19
26002,26003,1.66,Very Good,G,VS2,63.2,56.0,15229,7.61,7.49,4.77
40842,40843,0.4,Very Good,G,IF,62.3,59.0,1173,4.67,4.7,2.92
41559,41560,0.54,Premium,F,SI1,61.8,60.0,1237,5.2,5.22,3.22
20756,20757,1.53,Fair,I,VS2,57.7,69.0,8996,7.6,7.51,4.36
51251,51252,0.7,Ideal,F,SI2,62.0,56.0,2355,5.68,5.71,3.53
43752,43753,0.44,Ideal,E,VVS1,59.9,57.0,1438,4.93,4.97,2.96
31968,31969,0.26,Premium,E,VS1,60.1,60.0,452,4.1,4.15,2.48
34593,34594,0.3,Ideal,G,SI1,62.3,54.0,469,4.29,4.32,2.68
36311,36312,0.32,Ideal,H,VVS1,62.9,57.0,936,4.38,4.33,2.74
50576,50577,0.7,Very Good,H,VS1,60.3,63.0,2279,5.73,5.77,3.47
45426,45427,0.55,Very Good,E,VS2,62.3,61.0,1669,5.16,5.21,3.23
29498,29499,0.32,Very Good,E,VS2,62.8,54.0,702,4.35,4.38,2.74
16130,16131,1.14,Premium,F,SI1,61.1,58.0,6448,6.77,6.72,4.12
38739,38740,0.53,Very Good,J,SI1,61.5,56.0,1044,5.18,5.21,3.19
16329,16330,1.01,Very Good,F,VS2,63.3,57.0,6533,6.41,6.33,4.03
14091,14092,1.1,Premium,F,SI1,59.5,59.0,5717,6.7,6.77,4.01
2719,2720,0.26,Good,D,VVS2,63.6,56.0,564,4.06,4.09,2.59
28332,28333,0.33,Premium,G,VS1,62.4,59.0,666,4.41,4.47,2.77
36875,36876,0.39,Ideal,F,VS1,62.3,57.0,958,4.65,4.69,2.91
36864,36865,0.39,Premium,D,VS2,61.3,58.0,958,4.7,4.73,2.89
42846,42847,0.41,Premium,F,VVS1,61.3,59.0,1356,4.79,4.73,2.92
1185,1186,0.7,Very Good,G,VVS2,60.8,57.0,2931,5.72,5.76,3.49
20281,20282,1.5,Good,I,VS2,57.8,60.0,8702,7.54,7.5,4.35
48241,48242,0.5,Fair,E,VS1,56.1,64.0,1950,5.31,5.28,2.97
27074,27075,1.71,Premium,G,VS1,62.3,58.0,17197,7.65,7.61,4.75
16290,16291,1.01,Very Good,E,VS2,61.1,62.0,6517,6.39,6.5,3.94
26155,26156,2.01,Good,H,SI1,63.9,59.0,15467,7.81,7.91,5.02
4183,4184,0.91,Ideal,G,SI2,62.7,57.0,3557,6.15,6.19,3.87
27441,27442,2.29,Very Good,I,SI1,61.8,59.0,18068,8.44,8.51,5.24
52541,52542,0.71,Premium,H,VS2,62.8,56.0,2531,5.75,5.68,3.59
14837,14838,1.2,Good,H,SI1,63.6,57.0,5975,6.79,6.74,4.3
40802,40803,0.51,Ideal,F,SI2,60.5,55.0,1169,5.17,5.21,3.14
4274,4275,0.9,Very Good,E,SI2,61.0,59.0,3584,6.14,6.18,3.76
5600,5601,1.2,Premium,E,I1,62.3,60.0,3871,6.78,6.71,4.2
41882,41883,0.57,Ideal,I,VS2,61.6,54.0,1258,5.35,5.4,3.31
30507,30508,0.31,Ideal,D,SI1,63.0,55.0,732,4.34,4.32,2.73
24255,24256,1.6,Good,E,SI1,63.6,58.0,12467,7.38,7.44,4.71
21907,21908,1.71,Very Good,H,VS1,63.5,59.0,9974,7.59,7.52,4.8
40764,40765,0.41,Very Good,H,VVS1,62.0,56.0,1166,4.77,4.81,2.97
24170,24171,1.52,Premium,D,SI1,58.4,60.0,12342,7.57,7.52,4.41
14915,14916,1.01,Good,E,VS2,65.4,56.0,6004,6.18,6.23,4.06
53022,53023,0.74,Very Good,I,VVS2,62.8,55.0,2600,5.75,5.78,3.62
46588,46589,0.53,Ideal,E,VS2,60.9,56.0,1786,5.27,5.28,3.21
27411,27412,2.06,Very Good,G,SI2,62.3,59.0,18005,8.07,8.2,5.07
1323,1324,0.82,Ideal,I,SI1,61.8,55.0,2959,6.0,6.03,3.72
52422,52423,1.3,Fair,H,I1,64.4,57.0,2512,6.93,6.86,4.44
